label,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9
linear,-2.6861728005152488,-2.55788625628856,-1.9903529809983331,-1.3259045417520663,-0.8939667370116983,-0.3697835509956966,0.0135009392758084,0.7154693722935841,1.1898965911027837,1.5886248864881307
linear,-3.124747875243676,-2.6344886206045905,-1.945079015883397,-1.429697153769769,-0.8643893867367599,-0.3218051827510435,0.3717660467281022,0.8589145312167236,1.4154846400860777,1.994077464156294
linear,-4.293362523101193,-4.343122255356036,-4.416289402358985,-4.476033705414596,-4.536853613952206,-4.588158168301409,-4.6445013521202,-4.710495262429851,-4.773649262665303,-4.832725769410441
linear,-2.0749550686905063,-1.6443077666172754,-1.4331926050620687,-1.063881716368571,-0.7706629278479085,-0.4611104896714799,-0.1101950668788318,0.1430411378536906,0.4791292216137422,0.7351066541187037
linear,-0.6826749946672274,-0.1894588738533156,0.3017640414048644,0.8525735574143725,1.5608296580460328,1.8066190128395208,2.522043083818392,2.735323654703339,3.396324012555946,3.962124477827064
linear,0.1592082938967195,0.2530828974434875,0.3643434446737341,0.446873741264676,0.5289784470649823,0.6259572292907486,0.7238021332880572,0.8362300898765744,0.9271813821061812,1.0290785848800978
linear,2.3761353397454625,2.493845344314855,2.5714058702361338,2.6791627749118647,2.7801552704953423,2.8642042085794763,3.001441054904886,3.0824593690547704,3.194114959699234,3.305479914969749
linear,-2.130421766398067,-1.7640204809347373,-1.496361838312728,-1.1351911161387096,-0.7798810531931303,-0.4143971224343317,0.0053148127598466,0.2882748966147727,0.6639743841684271,1.0978747710498498
linear,-0.0774656786189114,0.3587953429750797,0.9030095603543778,1.49248538923129,1.783565469916922,2.451276473385623,2.931170078835152,3.360478745064135,3.7881929011468127,4.404653268510718
linear,-2.3087906023283886,-2.0634426129236494,-1.734960344720846,-1.2502038163481266,-0.8568446701085307,-0.377088993294931,-0.0281521262012865,0.3243898318469029,0.8015689526634591,0.9831357993280556
linear,6.732501932281706,6.371874184420548,5.69038115890833,4.965138927849178,4.430434715327764,3.993455344571466,3.4665105481568177,3.010465351107269,2.527416135226394,1.6622885470841209
linear,-0.8512447912557454,-0.71770567767676,-0.5931693388211705,-0.4585134876461028,-0.3127168537875739,-0.1989687583978951,-0.0762341740644868,0.0379973337057364,0.1558338954996188,0.301351866620929
linear,3.355730419872315,3.0412419125404715,2.522926854061733,2.074144799142798,1.7044203041446433,1.3364475818079533,1.1966876913995268,0.5502163077956798,0.3062233116119742,-0.2347384754649714
linear,-5.719786451252463,-5.001543264936802,-4.040569182088225,-3.362953309527536,-2.666875432512725,-1.869128181912678,-0.8586611942244265,0.1455747422048446,0.7498648405906713,1.5155810537467802
linear,-1.9948117013457105,-1.949340293103009,-1.9211487062095975,-1.8789070378740864,-1.856029816500864,-1.833587056635852,-1.801192392535402,-1.7438963632654625,-1.709797705789044,-1.6912559998811492
linear,3.7667499618290337,2.857662980679436,2.514089666835561,1.790971433279971,1.2781680981853063,0.6846514532428061,0.1882815304630465,-0.2242683402123037,-0.9884891937228636,-1.4771478821905226
linear,2.910848823070072,2.288243842383324,1.6953045520551309,1.205350323850323,0.2059649065179988,-0.2683812975787137,-1.0157740053080528,-1.6652433720542568,-2.143468787352997,-2.8835447788671598
linear,-5.82947253430123,-4.917502778408036,-4.121920629389964,-3.587644303053943,-2.520749776037389,-1.6806351002921465,-0.3700740042985488,0.2998435025219605,0.5128820794881334,1.4466093645535396
linear,3.1128851808133886,3.047991431346168,2.9902706071571328,2.926953553658518,2.876048095545906,2.814848771673425,2.758762611142444,2.6995344554228367,2.64433916072783,2.5804142505145835
linear,-2.162831930383028,-2.217904436931311,-2.2900754559823984,-2.4094006259023577,-2.483998978517807,-2.5594544187992367,-2.628701773890409,-2.735552078945861,-2.8107162904481027,-2.8833046865182594
linear,0.4471268761932536,-0.084797586380644,-0.6809637356172524,-1.24808050265164,-1.8861181811343335,-2.4241007933666947,-2.988867237540724,-3.63075352944212,-4.214537123943198,-4.825614083714265
linear,0.5069029633034814,1.2720559005907175,1.9153618166191164,2.528649804327884,3.143673359688848,3.794642701090039,4.564880315518216,5.189817461611692,5.866266423953158,6.432923495629743
linear,1.196560017008342,1.9342418509891643,2.5085859358533478,3.059911107552666,3.7032723421236073,4.288447246764524,4.9690592731724506,5.807469007691527,5.721398680745374,6.734257413395204
linear,-3.4909098838846178,-3.196471980482872,-2.917263820058519,-2.741620158612107,-2.44022756307024,-2.218610887671011,-1.96456081700969,-1.7384825413602174,-1.4744052353100376,-1.1899717911666634
linear,-3.478488167813784,-2.6099597461037654,-1.9981488532150056,-1.219710264718144,-0.5901556851397771,0.1857373337723371,0.8507620741485172,1.7568824773591891,2.283807812353319,3.21684601329308
linear,-6.469085777870309,-5.691549613241796,-5.18908850686391,-4.841120355044028,-4.008138643421253,-3.507611343142288,-2.7830675617345007,-1.883290174271051,-1.353294562040739,-0.8822420469845279
